Va,Vb,Vc,Ia,Ib,Ic,fault_type,cascade_severity,sections_affected,blackout_risk
7.6,9532.4,-9570.5,501.5,512.5,473.3,NO,0,0,0
2.4,474.3,-471.8,3849.0,3956.0,3980.7,LLL,4,4,1
5.7,953.1,-9502.5,3142.5,2538.0,493.9,LLG,3,3,0
-2.4,950.9,-9546.6,3064.6,2306.2,491.3,LLG,3,3,0
27.8,9450.8,-9523.9,524.1,476.2,506.9,NO,0,0,0
-2.5,477.9,-479.6,3835.0,4040.5,3900.5,LLL,4,4,1
-1.0,476.4,-476.5,3979.8,3770.6,4071.2,LLL,4,4,1
-7.9,9498.9,-9545.5,2293.5,495.7,509.7,LG,1,1,0
-32.3,9638.1,-9521.9,495.5,520.1,504.0,NO,0,0,0
0.7,2870.0,-9509.4,1969.1,2079.1,482.0,LL,2,2,0
-6.5,2867.8,-9523.6,2052.2,2042.3,517.9,LL,2,2,0
-6.8,958.0,-9470.9,2888.1,2512.5,518.1,LLG,3,3,0
1.0,476.6,-476.3,4089.0,3704.3,3630.6,LLL,4,4,1
-0.2,95.4,-96.2,5239.7,4940.0,4737.3,LLLG,5,5,1
1.4,476.7,-472.7,3898.7,4053.5,4216.4,LLL,4,4,1
1.5,471.8,-474.4,3986.6,4138.1,4017.7,LLL,4,4,1
-5.6,945.4,-9526.3,2965.8,2509.2,503.6,LLG,3,3,0
1.4,952.6,-9516.4,3195.8,2318.4,509.1,LLG,3,3,0
18.1,9579.7,-9505.8,502.8,495.0,489.5,NO,0,0,0
-11.0,954.8,-9495.7,3064.6,2542.3,487.5,LLG,3,3,0
37.3,9502.0,-9519.2,529.3,496.3,508.5,NO,0,0,0
0.5,96.3,-96.2,5121.2,5066.0,5245.1,LLLG,5,5,1
-35.4,2847.6,-9557.9,2090.9,1950.0,500.1,LL,2,2,0
-36.4,9583.0,-9530.4,498.3,524.4,481.8,NO,0,0,0
0.0,478.7,-475.6,3939.5,4066.5,4072.5,LLL,4,4,1
5.2,2874.1,-9585.4,1965.2,2036.1,498.6,LL,2,2,0
15.2,2875.8,-9543.6,2001.1,1835.8,531.2,LL,2,2,0
5.8,9453.7,-9501.1,2391.3,506.2,500.9,LG,1,1,0
-0.1,472.7,-475.8,3849.3,3887.6,4114.6,LLL,4,4,1
