machine_id,day,age_years,volt,rotate,pressure,vibration,failure_type,has_failure
0,0,5.9,177.05,444.29,99.79,38.38,none,0
0,1,5.9,168.16,473.29,96.46,27.57,none,0
0,2,5.9,167.61,426.85,98.38,35.47,none,0
0,3,5.9,166.12,451.06,99.52,41.2,none,0
0,4,5.9,169.58,445.03,100.08,42.09,none,0
0,5,5.9,165.03,477.83,97.65,38.17,none,0
0,6,5.9,168.57,460.04,99.86,23.37,none,0
0,7,5.9,166.29,456.97,101.22,42.03,none,0
0,8,5.9,163.59,453.19,99.89,37.64,none,0
0,9,5.9,165.21,450.66,97.98,35.76,none,0
0,10,5.9,171.95,417.63,104.33,45.0,none,0
0,11,5.9,168.42,497.05,100.73,50.09,none,0
0,12,5.9,175.77,427.83,95.01,50.84,none,0
0,13,5.9,164.71,479.86,96.09,30.46,none,0
0,14,5.9,156.42,433.61,100.23,34.28,none,0
0,15,5.9,177.08,443.79,97.4,29.56,none,0
0,16,5.9,167.68,408.09,97.14,41.38,none,0
0,17,5.9,178.8,448.7,101.39,42.5,none,0
0,18,5.9,149.79,360.47,117.14,63.82,comp1,1
0,19,5.9,173.94,410.03,93.19,49.76,none,0
0,20,5.9,177.65,425.14,107.0,48.76,none,0
0,21,5.9,170.11,470.61,99.72,38.11,none,0
0,22,5.9,167.87,458.99,102.17,36.71,none,0
0,23,5.9,171.93,464.26,100.66,22.35,none,0
0,24,5.9,169.77,448.52,101.27,50.13,none,0
0,25,5.9,172.23,474.57,104.05,33.4,none,0
0,26,5.9,166.67,448.05,96.56,31.36,none,0
0,27,5.9,171.01,462.24,95.77,33.89,none,0
0,28,5.9,159.74,468.22,96.41,46.58,none,0
0,29,5.9,163.91,415.76,102.82,46.05,none,0
0,30,5.9,173.13,453.67,93.93,38.59,none,0
0,31,5.9,166.0,454.33,98.44,46.3,none,0
0,32,5.9,157.26,406.5,101.46,41.03,none,0
0,33,5.9,175.39,457.96,97.85,47.18,none,0
0,34,5.9,170.4,464.11,97.87,45.59,none,0
0,35,5.9,165.76,453.35,97.98,32.29,none,0
0,36,5.9,163.09,420.44,96.8,38.63,none,0
0,37,5.9,172.33,453.95,104.44,49.9,none,0
0,38,5.9,169.93,454.03,101.37,49.69,none,0
0,39,5.9,165.83,436.48,100.48,58.24,none,0
0,40,5.9,161.47,444.63,101.83,47.03,none,0
0,41,5.9,164.09,443.34,100.83,46.9,none,0
0,42,5.9,169.06,469.17,97.15,42.91,none,0
0,43,5.9,174.65,493.17,95.32,41.06,none,0
0,44,5.9,171.44,447.67,100.64,48.43,none,0
0,45,5.9,167.11,446.74,100.01,45.1,none,0
0,46,5.9,168.35,445.14,100.18,39.24,none,0
0,47,5.9,167.08,437.24,106.22,32.82,none,0
0,48,5.9,170.94,420.83,98.94,43.51,none,0
0,49,5.9,174.86,499.11,101.73,35.29,none,0
0,50,5.9,172.12,453.68,101.32,43.18,none,0
0,51,5.9,165.77,432.78,94.72,26.46,none,0
0,52,5.9,169.54,452.92,96.33,41.68,none,0
0,53,5.9,176.16,426.91,103.49,39.98,none,0
0,54,5.9,173.63,463.3,98.06,46.71,none,0
0,55,5.9,172.34,456.07,102.62,46.25,none,0
0,56,5.9,172.63,427.29,96.95,35.35,none,0
0,57,5.9,172.57,462.41,97.46,43.65,none,0
0,58,5.9,165.05,454.25,104.57,46.98,none,0
0,59,5.9,171.69,448.0,98.6,31.07,none,0
0,60,5.9,170.14,451.77,101.49,39.2,none,0
0,61,5.9,174.5,478.3,99.88,39.62,none,0
0,62,5.9,168.59,473.48,100.14,52.32,none,0
0,63,5.9,155.52,417.16,120.67,73.33,comp3,1
0,64,5.9,165.71,429.74,97.52,53.46,none,0
0,65,5.9,170.4,445.99,102.63,31.01,none,0
0,66,5.9,163.68,449.6,97.49,45.15,none,0
0,67,5.9,169.5,426.88,98.9,53.38,none,0
0,68,5.9,165.15,434.78,98.18,44.33,none,0
0,69,5.9,162.63,459.66,98.87,48.46,none,0
0,70,5.9,166.28,462.54,100.15,37.99,none,0
0,71,5.9,162.81,449.88,101.93,36.35,none,0
0,72,5.9,168.18,486.49,94.97,48.09,none,0
0,73,5.9,170.91,437.25,100.63,37.98,none,0
0,74,5.9,167.13,471.77,101.3,26.62,none,0
0,75,5.9,169.82,453.94,101.28,33.76,none,0
0,76,5.9,162.33,469.33,99.61,33.8,none,0
0,77,5.9,176.61,490.14,99.31,41.38,none,0
0,78,5.9,168.56,402.89,95.72,41.21,none,0
0,79,5.9,173.44,449.05,101.74,36.28,none,0
0,80,5.9,165.12,452.09,100.83,47.22,none,0
0,81,5.9,164.63,442.55,102.46,43.3,none,0
0,82,5.9,178.75,490.3,99.25,27.06,none,0
0,83,5.9,173.11,455.4,96.53,47.89,none,0
0,84,5.9,168.66,458.59,99.75,34.63,none,0
0,85,5.9,171.25,443.27,102.18,49.05,none,0
0,86,5.9,164.0,476.34,99.61,41.17,none,0
0,87,5.9,175.94,444.99,97.09,44.78,none,0
0,88,5.9,170.97,420.31,106.15,35.6,none,0
0,89,5.9,168.53,427.14,100.98,36.16,none,0
0,90,5.9,165.1,426.08,102.14,33.33,none,0
0,91,5.9,171.53,424.76,96.21,45.46,none,0
0,92,5.9,169.51,455.48,97.73,35.47,none,0
0,93,5.9,173.74,446.19,96.43,55.0,none,0
0,94,5.9,174.31,448.83,100.1,39.53,none,0
0,95,5.9,179.29,478.13,100.26,43.26,none,0
0,96,5.9,167.11,465.79,102.26,29.77,none,0
0,97,5.9,175.02,423.0,98.43,36.44,none,0
0,98,5.9,174.8,448.71,100.66,41.86,none,0
0,99,5.9,176.57,391.97,100.34,30.59,none,0
0,100,5.9,177.1,449.14,101.14,59.05,none,0
0,101,5.9,174.98,436.32,99.02,36.3,none,0
0,102,5.9,165.72,476.07,101.36,36.94,none,0
