temperature,vacuum,pressure,humidity,power_output,brush_stress,high_stress
14.7,79.2,1006.35,93.7,481.44,0.61,1
7.5,56.7,1021.83,55.1,501.99,0.337,0
31.1,58.9,1013.92,79.4,446.03,0.801,1
16.3,50.5,1011.65,67.1,482.96,0.518,0
4.7,36.1,1030.76,53.3,515.69,0.273,0
12.0,29.7,1015.3,81.3,496.66,0.501,0
34.0,54.3,1015.68,38.6,451.8,0.659,1
21.9,45.3,1030.02,57.0,471.54,0.562,0
33.2,76.7,1000.19,72.9,441.86,0.807,1
28.2,49.7,1007.07,84.6,460.72,0.762,1
4.8,48.8,1005.33,88.3,511.01,0.423,0
35.2,65.6,1029.63,47.5,457.29,0.696,1
37.0,38.4,1014.62,96.9,446.99,0.934,1
19.4,60.1,1003.59,49.1,484.09,0.478,0
11.1,59.4,1007.67,73.7,492.55,0.47,0
16.0,79.8,1006.2,75.3,476.9,0.561,0
36.0,50.6,1023.09,43.2,445.04,0.712,1
23.8,57.7,996.82,48.0,470.6,0.548,0
14.1,53.4,1018.38,89.2,489.9,0.569,0
5.6,40.8,1018.3,99.6,507.29,0.485,0
31.7,80.4,1030.75,31.3,458.75,0.591,0
35.2,75.9,994.22,63.3,444.97,0.783,1
31.5,63.1,1017.44,76.8,448.09,0.791,1
27.0,56.2,1032.86,35.2,469.9,0.533,0
35.1,73.6,1010.26,59.2,448.53,0.759,1
36.9,56.5,996.15,61.3,445.88,0.792,1
27.2,45.5,1007.44,70.1,456.39,0.701,1
7.4,48.2,1005.88,47.7,502.83,0.305,0
35.8,28.9,1016.51,61.9,453.62,0.767,1
24.3,30.7,997.81,99.7,468.49,0.765,1
36.1,36.4,1001.76,35.5,457.35,0.658,1
6.4,73.6,1023.6,72.1,497.85,0.402,0
13.0,37.1,1009.23,76.1,490.46,0.503,0
22.1,61.2,1003.63,88.1,466.54,0.698,1
22.3,51.5,1004.47,50.9,473.29,0.539,0
23.6,38.4,1025.17,60.2,473.93,0.588,0
6.0,63.0,993.44,66.9,506.22,0.359,0
10.3,29.3,1001.61,26.4,510.21,0.237,0
4.0,26.0,1013.37,63.2,519.92,0.296,0
16.6,77.8,1009.89,73.2,479.57,0.553,0
18.9,58.5,1015.52,52.9,489.0,0.478,0
20.4,63.8,1014.13,76.5,476.63,0.613,1
16.1,45.4,1025.19,68.5,491.92,0.504,0
33.9,65.2,996.32,48.0,449.88,0.698,1
22.4,26.2,1010.96,90.4,476.98,0.69,1
6.7,49.2,1020.54,56.2,514.11,0.309,0
24.9,46.4,1021.63,62.0,480.49,0.596,0
16.2,79.4,1029.89,90.2,472.0,0.632,1
21.3,43.0,1025.49,87.9,476.42,0.669,1
3.3,47.7,1007.65,58.3,514.1,0.281,0
8.6,47.0,1027.06,49.1,512.73,0.304,0
9.1,25.8,1013.68,63.1,508.36,0.374,0
19.0,81.3,1004.28,47.5,476.47,0.483,0
26.0,56.0,1004.79,73.1,471.77,0.67,1
13.3,57.3,1002.27,68.0,489.65,0.477,0
25.0,26.2,1000.64,44.0,477.39,0.532,0
28.7,48.3,1016.11,45.8,466.21,0.601,1
13.0,45.3,996.48,71.6,498.99,0.469,0
19.3,65.3,1031.73,46.6,481.83,0.471,0
23.4,72.0,1011.49,87.1,473.54,0.695,1
15.7,41.6,1023.76,74.6,498.71,0.511,0
27.3,44.8,1006.03,48.7,480.16,0.57,0
34.4,69.4,1021.33,64.1,450.51,0.767,1
6.5,80.9,1015.29,27.2,506.95,0.205,0
23.7,68.0,1020.41,83.9,473.46,0.684,1
9.2,55.1,1016.2,51.9,497.82,0.352,0
1.9,65.6,1018.73,99.2,508.47,0.441,0
19.7,40.6,1015.03,54.1,483.87,0.502,0
18.6,31.2,1026.71,38.9,492.86,0.411,0
29.4,55.5,996.69,83.4,455.79,0.78,1
34.0,29.9,993.17,30.1,460.39,0.607,1
18.3,61.7,1032.38,68.5,482.4,0.547,0
10.7,41.8,1004.98,42.5,498.8,0.328,0
21.5,28.9,1002.1,48.2,472.77,0.52,0
23.1,54.5,1014.91,77.8,466.43,0.668,1
12.3,57.0,1031.08,50.6,496.16,0.383,0
26.5,71.2,1010.57,86.3,463.6,0.744,1
28.2,81.0,1021.71,85.7,455.15,0.778,1
30.9,65.8,999.65,59.2,459.33,0.692,1
8.8,78.5,1017.46,42.7,497.89,0.31,0
9.9,69.7,994.99,74.8,486.91,0.472,0
13.7,45.3,1006.83,42.9,500.88,0.358,0
8.0,39.7,1000.97,30.1,513.45,0.22,0
30.7,63.8,1006.32,67.9,454.05,0.735,1
26.6,29.0,1016.2,68.9,472.48,0.659,1
6.5,72.1,998.05,81.6,498.47,0.44,0
4.0,59.4,1028.61,91.6,509.87,0.43,0
24.7,76.9,1001.56,25.6,470.62,0.468,0
21.7,60.7,1014.32,54.1,476.4,0.539,0
12.1,72.0,993.23,37.1,490.12,0.339,0
9.2,43.7,998.6,74.8,503.22,0.432,0
8.8,63.3,1012.47,83.3,501.09,0.467,0
11.3,71.6,1022.17,42.4,494.07,0.344,0
20.9,80.6,993.98,67.8,474.93,0.587,0
8.6,62.7,1029.74,53.1,500.54,0.345,0
12.0,31.3,1014.22,30.1,499.28,0.292,0
